VarName	Date	Piece_weight	Screw_speed	Holding_pressure	Backpressure	Barrel_temp_zone1	Barrel_temp_zone2	Barrel_temp_zone3	Barrel_temp_zone4	Mould_temperature	Extraction_temperature	Cooling_time	Holding_time	Cycle_time	Sinks	Energy_consumption_pumps	Energy_consumption_heating	total_energy_consumption	Schrinkage
27	2021-04-18 06:56:36	83.14	150.0	48.4	2.0	178.8	193.3	199.3	222.1	49.4	75.8	41.0	2.3	45.2	1	7.15	6.37	13.5	1.3
28	2021-04-18 06:56:39	82.86	150.1	46.9	2.3	176.1	193.4	198.3	213.8	46.2	74.6	39.1	3.0	44.1	0	6.93	6.14	13.1	1.0
29	2021-04-18 06:56:42	82.99	149.8	42.7	2.3	181.8	184.7	198.2	218.8	45.1	74.6	39.0	3.2	44.2	0	6.31	6.28	12.6	1.0
30	2021-04-18 06:56:45	83.0	150.1	42.1	2.3	187.1	192.4	200.0	222.8	50.4	77.1	40.8	2.6	45.3	1	6.22	6.39	12.6	1.2
31	2021-04-18 06:56:48	82.95	150.0	45.4	1.9	181.7	194.1	197.6	225.3	48.9	74.4	42.1	0.8	44.8	1	6.71	6.47	13.2	1.9
32	2021-04-18 06:56:51	83.05	150.1	48.1	1.9	172.6	189.6	201.1	216.0	63.2	91.0	37.8	3.3	43.2	0	7.11	6.2	13.3	0.9
33	2021-04-18 06:56:54	82.97	150.0	41.1	2.2	173.7	191.4	200.2	223.8	60.7	89.2	38.5	4.2	44.7	0	6.07	6.42	12.5	0.6
34	2021-04-18 06:56:57	82.71	149.8	44.4	2.1	171.4	188.3	199.1	215.1	56.7	85.7	37.7	4.7	44.5	0	6.55	6.17	12.7	0.4
35	2021-04-18 06:57:00	82.86	149.9	45.8	2.1	180.0	190.5	198.7	213.6	38.0	63.6	41.9	2.6	46.5	1	6.77	6.13	12.9	1.2
36	2021-04-18 06:57:03	83.08	150.1	46.4	2.1	180.6	193.5	198.0	229.2	48.5	75.6	41.3	4.7	48.0	0	6.85	6.58	13.4	0.4
37	2021-04-18 06:57:06	82.82	150.1	43.0	2.1	175.9	185.7	199.0	220.8	56.8	82.3	40.7	2.9	45.6	0	6.35	6.34	12.7	1.1
38	2021-04-18 06:57:09	82.52	149.9	40.8	2.1	177.8	193.3	200.7	222.7	46.0	72.2	41.6	1.8	45.3	1	6.02	6.39	12.4	1.5
39	2021-04-18 06:57:12	82.83	150.1	46.0	1.9	181.3	187.8	198.6	222.1	46.3	75.4	39.5	3.2	44.7	0	6.8	6.37	13.2	1.0
40	2021-04-18 06:57:15	83.03	150.2	46.2	2.4	175.2	190.4	199.8	217.6	60.8	89.2	37.9	4.4	44.3	0	6.83	6.24	13.1	0.5
41	2021-04-18 06:57:18	83.07	150.0	44.4	2.0	182.7	195.4	198.0	217.1	50.9	80.8	38.0	2.9	42.9	0	6.55	6.23	12.8	1.1
42	2021-04-18 06:57:21	83.11	149.9	46.0	1.9	179.3	192.0	201.0	229.0	59.9	86.1	40.8	2.9	45.7	0	6.79	6.57	13.4	1.1
43	2021-04-18 06:57:24	82.63	149.9	44.1	1.9	178.3	188.9	199.2	216.3	42.0	67.9	41.5	2.5	46.0	1	6.52	6.21	12.7	1.2
44	2021-04-18 06:57:27	83.02	150.1	45.4	2.1	178.4	188.7	200.9	215.3	56.8	84.6	38.5	3.9	44.4	0	6.7	6.18	12.9	0.7
45	2021-04-18 06:57:30	83.02	150.0	44.6	1.8	176.2	191.5	200.4	215.3	38.3	66.9	40.0	2.3	44.3	1	6.59	6.18	12.8	1.3
46	2021-04-18 06:57:33	82.64	150.0	44.3	1.9	179.8	184.9	200.4	221.8	51.5	76.8	41.5	4.2	47.8	0	6.54	6.37	12.9	0.6
47	2021-04-18 06:57:36	83.14	150.0	43.4	1.5	182.0	189.8	201.7	219.4	46.7	72.8	41.2	2.5	45.7	1	6.4	6.29	12.7	1.3
48	2021-04-18 06:57:39	83.12	150.2	44.9	1.9	183.1	186.4	201.1	222.8	50.4	77.7	40.3	2.9	45.3	0	6.63	6.39	13.0	1.1
49	2021-04-18 06:57:42	83.14	149.8	42.9	1.8	177.0	187.5	199.5	225.5	51.7	79.1	40.4	3.9	46.3	0	6.34	6.47	12.8	0.7
50	2021-04-18 06:57:45	82.69	149.9	46.8	1.8	174.1	190.0	201.1	221.8	51.8	78.2	40.7	1.5	44.3	1	6.92	6.36	13.3	1.6
51	2021-04-18 06:57:48	83.2	150.0	45.8	1.8	184.8	187.6	202.8	224.1	47.8	74.4	41.3	3.0	46.3	0	6.76	6.43	13.2	1.1
52	2021-04-18 06:57:51	82.93	149.9	45.3	2.0	179.9	193.3	198.5	220.4	51.1	76.7	41.2	4.9	48.1	0	6.7	6.32	13.0	0.3
53	2021-04-18 06:57:54	82.98	150.0	46.0	2.2	181.8	188.7	199.8	223.9	54.0	83.7	38.6	3.2	43.8	0	6.8	6.42	13.2	1.0
54	2021-04-18 06:57:57	83.06	150.2	45.5	1.9	174.0	191.3	199.4	217.1	59.4	88.0	37.9	4.0	43.9	0	6.72	6.23	13.0	0.7
55	2021-04-18 06:58:00	82.8	150.0	45.7	2.4	190.5	191.5	201.1	219.9	43.5	70.6	41.0	2.3	45.3	1	6.74	6.31	13.1	1.3
56	2021-04-18 06:58:03	83.18	149.9	43.2	2.0	174.7	189.2	200.7	224.4	49.7	78.0	39.9	2.2	44.2	1	6.38	6.44	12.8	1.4
57	2021-04-18 06:58:06	82.94	150.1	44.5	1.7	177.4	190.2	201.0	213.6	43.9	73.3	38.7	4.4	45.1	0	6.57	6.13	12.7	0.5
58	2021-04-18 06:58:09	82.82	150.1	46.0	2.0	179.1	188.7	198.9	214.4	50.4	76.8	40.0	2.6	44.7	1	6.8	6.15	12.9	1.2
59	2021-04-18 06:58:12	83.07	150.2	45.7	2.1	189.9	192.6	201.6	221.5	51.6	78.6	40.3	2.3	44.6	1	6.75	6.36	13.1	1.3
60	2021-04-18 06:58:15	82.75	150.0	47.9	1.7	175.7	183.5	199.3	221.8	34.7	63.2	41.1	3.0	46.0	0	7.08	6.37	13.4	1.1
61	2021-04-18 06:58:18	82.96	150.1	43.0	1.9	176.1	187.6	200.2	217.1	48.1	75.9	39.7	2.4	44.1	1	6.34	6.23	12.6	1.3
62	2021-04-18 06:58:21	83.25	149.8	46.3	1.8	183.3	193.2	200.2	223.9	50.0	79.1	39.4	2.0	43.4	1	6.84	6.43	13.3	1.5
63	2021-04-18 06:58:24	82.67	150.1	47.4	1.9	177.2	192.0	202.4	232.8	51.2	77.2	42.2	2.3	46.4	1	7.0	6.68	13.7	1.3
64	2021-04-18 06:58:27	82.52	150.0	42.2	1.7	187.8	185.9	199.3	220.9	48.0	76.9	39.3	3.2	44.5	0	6.23	6.34	12.6	1.0
65	2021-04-18 06:58:30	82.78	149.9	43.8	1.8	180.6	194.4	198.9	208.9	57.4	85.2	37.6	2.9	42.5	0	6.47	5.99	12.5	1.1
66	2021-04-18 06:58:33	82.58	150.0	45.6	2.1	178.1	190.9	199.0	223.7	49.7	78.8	39.3	3.0	44.3	0	6.73	6.42	13.2	1.1
67	2021-04-18 06:58:36	83.15	149.9	43.9	2.0	178.0	191.9	200.3	227.1	48.7	74.1	42.3	4.9	49.2	0	6.49	6.52	13.0	0.3
68	2021-04-18 06:58:39	83.1	149.8	44.6	2.1	174.5	195.3	199.8	215.1	48.0	77.7	38.3	2.8	43.0	1	6.58	6.17	12.8	1.1
69	2021-04-18 06:58:42	83.19	150.1	45.6	2.3	188.0	189.3	200.7	212.1	44.9	72.4	39.7	3.8	45.5	0	6.73	6.09	12.8	0.8
70	2021-04-18 06:58:45	83.06	150.0	47.7	2.0	180.0	192.9	200.0	233.8	52.6	82.3	39.7	2.7	44.4	1	7.05	6.71	13.8	1.2
71	2021-04-18 06:58:48	82.83	150.0	45.4	1.8	178.9	187.5	199.1	220.4	50.2	79.3	38.9	3.5	44.5	0	6.71	6.33	13.0	0.9
72	2021-04-18 06:58:51	83.06	150.0	44.0	2.4	181.6	187.2	199.0	223.6	52.2	77.5	41.6	4.0	47.6	0	6.5	6.42	12.9	0.7
73	2021-04-18 06:58:54	83.24	150.0	43.1	1.7	188.6	193.2	199.6	211.6	51.2	80.9	37.5	3.4	42.9	0	6.37	6.07	12.4	0.9
74	2021-04-18 06:58:57	82.69	150.0	48.3	2.2	184.0	190.4	199.6	220.8	49.6	78.1	39.5	2.0	43.5	1	7.14	6.34	13.5	1.4
75	2021-04-18 06:59:00	83.16	150.0	49.7	2.1	174.8	189.0	201.0	225.7	53.4	78.8	41.7	2.9	46.6	0	7.33	6.48	13.8	1.1
76	2021-04-18 06:59:03	82.71	150.2	45.9	2.0	180.8	192.9	199.3	227.2	34.3	60.5	43.2	2.1	47.3	1	6.79	6.52	13.3	1.4
77	2021-04-18 06:59:06	82.84	150.1	44.1	1.9	183.8	191.3	201.1	213.6	59.6	87.7	37.8	2.2	41.9	1	6.52	6.13	12.6	1.4
78	2021-04-18 06:59:09	83.26	150.1	46.9	2.0	176.5	185.9	200.5	220.6	39.7	68.4	40.3	2.1	44.4	1	6.93	6.33	13.3	1.4
79	2021-04-18 06:59:12	82.71	149.8	47.0	2.1	169.4	187.6	198.5	221.0	53.2	80.6	39.8	4.1	45.9	0	6.94	6.34	13.3	0.6
80	2021-04-18 06:59:15	83.28	150.2	46.1	2.0	183.7	184.8	201.3	227.4	55.8	83.4	40.1	2.4	44.4	1	6.81	6.52	13.3	1.3
81	2021-04-18 06:59:18	82.83	150.2	42.7	2.1	185.2	186.5	199.7	226.2	48.9	78.9	39.2	3.8	45.0	0	6.31	6.49	12.8	0.7
82	2021-04-18 06:59:21	82.76	149.8	46.0	2.1	178.5	197.9	200.9	218.8	52.4	81.5	38.6	3.4	43.9	0	6.79	6.28	13.1	0.9
83	2021-04-18 06:59:24	82.88	150.0	46.3	2.1	173.1	193.6	201.9	222.3	51.0	78.3	40.2	4.1	46.3	0	6.83	6.38	13.2	0.7
84	2021-04-18 06:59:27	82.82	149.9	45.4	1.9	183.8	193.5	199.7	222.6	51.0	80.6	38.8	3.4	44.2	0	6.71	6.39	13.1	0.9
85	2021-04-18 06:59:30	83.04	150.0	43.7	1.8	177.1	190.6	200.6	218.6	42.9	71.6	39.8	2.7	44.5	1	6.46	6.27	12.7	1.2
86	2021-04-18 06:59:33	82.85	150.0	43.3	2.0	179.9	187.5	198.3	230.0	37.8	64.1	43.1	1.7	46.8	1	6.4	6.6	13.0	1.5
87	2021-04-18 06:59:36	82.8	150.0	46.3	2.2	186.2	190.2	201.3	219.9	45.8	71.7	41.5	2.6	46.1	1	6.84	6.31	13.2	1.2
88	2021-04-18 06:59:39	82.93	150.1	45.1	1.7	179.7	196.2	200.6	226.0	50.6	78.8	40.1	2.3	44.4	1	6.66	6.48	13.1	1.3
89	2021-04-18 06:59:42	83.01	149.9	45.3	1.6	176.4	195.0	199.8	221.5	51.1	78.2	40.2	2.5	44.7	1	6.69	6.36	13.0	1.3
90	2021-04-18 06:59:45	83.3	150.2	48.4	2.1	179.5	195.5	198.7	220.4	51.2	77.3	40.8	3.2	46.0	0	7.15	6.32	13.5	1.0
91	2021-04-18 06:59:48	83.0	150.1	44.9	2.1	177.9	191.7	198.8	222.2	52.0	80.1	39.6	3.5	45.1	0	6.64	6.38	13.0	0.9
92	2021-04-18 06:59:51	83.03	149.9	42.7	2.1	174.6	192.4	198.8	219.0	45.5	71.1	41.7	2.5	46.2	1	6.31	6.28	12.6	1.2
93	2021-04-18 06:59:54	83.12	149.9	43.4	2.0	170.4	189.0	202.4	215.8	53.2	82.0	38.3	2.7	42.9	1	6.41	6.19	12.6	1.2
94	2021-04-18 06:59:57	83.2	150.1	43.6	2.0	185.7	188.7	201.9	219.0	54.3	83.9	38.0	3.2	43.2	0	6.44	6.28	12.7	1.0
95	2021-04-18 07:00:00	83.17	150.1	47.7	2.3	184.0	190.9	199.5	222.1	48.3	75.7	40.5	1.9	44.3	1	7.04	6.37	13.4	1.5
96	2021-04-18 07:00:03	82.83	150.0	45.6	2.0	178.5	192.7	202.2	223.4	66.4	92.4	39.5	2.4	43.9	1	6.73	6.41	13.1	1.3
97	2021-04-18 07:00:06	82.83	150.0	49.7	1.6	167.3	189.8	200.3	224.4	38.1	64.8	42.2	3.7	47.8	0	7.35	6.44	13.8	0.8
98	2021-04-18 07:00:09	82.96	150.1	47.0	2.0	164.4	193.1	201.1	224.0	39.4	64.7	43.1	3.9	48.9	0	6.94	6.43	13.4	0.7
99	2021-04-18 07:00:12	82.51	150.0	40.9	2.4	170.1	189.3	201.4	215.7	51.4	77.3	40.4	4.2	46.6	0	6.05	6.19	12.2	0.6
100	2021-04-18 07:00:15	82.97	150.0	50.8	2.0	184.7	194.7	199.5	214.3	51.5	76.7	40.8	1.6	44.3	1	7.5	6.15	13.6	1.6
101	2021-04-18 07:00:18	83.11	149.8	44.9	1.9	182.5	189.5	199.1	211.0	51.9	79.8	38.5	1.7	42.2	1	6.63	6.05	12.7	1.6
102	2021-04-18 07:00:21	82.78	150.1	46.1	2.2	172.1	189.1	199.7	219.7	62.0	87.6	39.9	2.6	44.5	1	6.8	6.3	13.1	1.2
103	2021-04-18 07:00:24	83.14	150.1	45.8	1.9	186.5	187.8	200.5	221.4	38.0	66.5	40.7	2.9	45.6	0	6.77	6.35	13.1	1.1
104	2021-04-18 07:00:27	82.85	149.9	43.9	1.7	187.9	187.9	201.4	224.9	51.4	80.8	39.1	2.0	43.0	1	6.49	6.45	12.9	1.5
105	2021-04-18 07:00:30	82.94	150.0	43.5	1.6	178.0	183.5	200.4	221.3	48.6	78.0	39.0	2.1	43.1	1	6.43	6.35	12.8	1.4
106	2021-04-18 07:00:33	83.1	150.0	43.1	1.8	181.5	190.7	200.3	222.3	43.2	71.9	40.2	2.7	44.9	1	6.36	6.38	12.7	1.2
107	2021-04-18 07:00:36	82.89	149.9	43.2	1.8	172.6	190.9	199.9	216.0	42.0	69.2	40.6	2.9	45.5	0	6.39	6.2	12.6	1.1
108	2021-04-18 07:00:39	83.08	150.0	46.6	2.1	175.1	189.5	200.2	226.5	62.6	91.9	38.2	4.9	45.1	0	6.88	6.5	13.4	0.3
109	2021-04-18 07:00:42	83.05	150.1	45.6	2.1	178.0	188.4	200.7	218.1	54.3	82.8	38.6	3.1	43.7	0	6.74	6.26	13.0	1.0
110	2021-04-18 07:00:45	83.07	150.0	43.8	1.9	179.1	191.0	200.3	218.0	49.4	78.5	38.8	2.3	43.1	1	6.48	6.26	12.7	1.3
111	2021-04-18 07:00:48	83.21	150.0	46.4	2.1	178.5	187.4	198.6	215.7	30.9	57.6	42.1	1.6	45.7	1	6.85	6.19	13.0	1.6
112	2021-04-18 07:00:51	82.95	150.0	42.4	1.9	180.2	180.7	200.0	225.9	53.9	83.5	38.9	3.9	44.8	0	6.26	6.48	12.7	0.7
113	2021-04-18 07:00:54	82.95	150.2	42.7	2.4	182.9	195.7	200.5	226.3	57.2	85.8	39.2	2.3	43.5	1	6.31	6.49	12.8	1.3
114	2021-04-18 07:00:57	82.74	149.8	48.6	1.7	191.4	190.2	200.2	213.4	31.1	57.6	42.0	3.1	47.1	0	7.18	6.12	13.3	1.0
115	2021-04-18 07:01:00	82.58	150.0	44.8	2.1	176.5	193.5	200.9	230.5	42.0	67.5	43.3	3.0	48.3	0	6.61	6.62	13.2	1.0
116	2021-04-18 07:01:03	82.97	150.0	44.4	1.5	178.2	197.0	198.0	221.5	51.3	79.9	39.2	2.9	44.2	0	6.55	6.36	12.9	1.1
117	2021-04-18 07:01:06	82.91	150.1	46.0	2.1	177.6	193.0	199.2	218.1	39.9	66.0	41.8	2.7	46.6	1	6.79	6.26	13.0	1.2
118	2021-04-18 07:01:09	83.01	150.1	43.8	1.9	187.8	188.6	199.7	218.5	44.4	70.3	41.5	2.4	46.0	1	6.47	6.27	12.7	1.3
119	2021-04-18 07:01:12	82.88	149.9	47.3	1.8	179.9	187.1	201.1	218.5	49.7	76.0	40.7	0.6	43.2	1	6.98	6.27	13.3	2.0
120	2021-04-18 07:01:15	82.95	150.1	48.2	2.3	180.1	188.0	200.6	219.6	52.1	80.5	39.1	4.2	45.3	0	7.12	6.3	13.4	0.6
121	2021-04-18 07:01:18	82.84	150.1	48.1	1.9	174.7	185.4	200.2	214.0	55.7	81.5	39.9	2.8	44.7	0	7.11	6.14	13.2	1.1
122	2021-04-18 07:01:21	82.7	149.9	47.2	2.2	177.8	191.8	200.6	217.4	63.8	91.1	38.3	2.8	43.1	0	6.97	6.24	13.2	1.1
123	2021-04-18 07:01:24	83.09	149.9	41.7	2.3	187.9	186.8	200.3	216.8	45.1	71.2	41.1	3.7	46.9	0	6.16	6.22	12.4	0.8
124	2021-04-18 07:01:27	82.8	150.1	42.9	1.8	184.8	188.6	200.2	217.1	44.6	70.5	41.3	2.2	45.5	1	6.33	6.23	12.6	1.4
125	2021-04-18 07:01:30	82.82	149.9	47.5	2.1	181.6	191.9	199.5	218.1	53.6	80.5	39.7	1.6	43.4	1	7.02	6.26	13.3	1.6
126	2021-04-18 07:01:33	82.84	150.2	46.1	1.9	185.3	186.8	199.7	220.6	48.3	77.5	39.1	2.7	43.8	1	6.81	6.33	13.1	1.2
127	2021-04-18 07:01:36	83.02	150.2	41.9	1.8	177.8	190.6	198.9	212.3	42.2	68.4	40.9	3.0	45.9	0	6.19	6.09	12.3	1.1
128	2021-04-18 07:01:39	82.82	149.9	45.2	1.6	183.5	189.9	199.5	221.5	49.2	76.1	40.6	2.5	45.1	1	6.68	6.36	13.0	1.3
129	2021-04-18 07:01:42	83.15	150.0	47.7	2.3	182.8	188.5	199.2	215.9	43.5	68.8	41.7	2.3	46.1	1	7.05	6.19	13.2	1.3
130	2021-04-18 07:01:45	82.95	150.0	45.7	1.9	182.5	193.0	199.9	220.9	42.2	69.9	40.8	3.2	45.9	0	6.74	6.34	13.1	1.0
131	2021-04-18 07:01:48	83.03	150.1	43.4	1.9	185.3	189.8	199.3	223.8	54.5	82.9	39.3	2.9	44.2	0	6.41	6.42	12.8	1.1
132	2021-04-18 07:01:51	83.07	149.9	46.6	2.2	180.2	189.4	199.9	215.2	57.5	86.1	37.9	2.8	42.7	1	6.88	6.18	13.1	1.1
133	2021-04-18 07:01:54	82.9	149.9	46.2	2.0	186.2	190.0	200.4	222.8	53.7	83.0	38.7	3.8	44.5	0	6.82	6.39	13.2	0.7
134	2021-04-18 07:01:57	83.28	149.8	45.1	2.1	179.0	186.8	199.3	219.9	44.9	71.9	40.8	3.1	45.9	0	6.66	6.31	13.0	1.0
135	2021-04-18 07:02:00	82.71	150.1	48.0	2.1	176.0	186.3	197.9	226.5	54.0	83.0	39.3	2.1	43.4	1	7.08	6.5	13.6	1.4
136	2021-04-18 07:02:03	83.02	150.0	41.7	2.1	182.5	195.3	200.2	225.1	46.9	76.4	39.5	2.8	44.3	0	6.16	6.46	12.6	1.1
137	2021-04-18 07:02:06	83.17	149.9	45.6	1.9	180.4	186.3	200.9	225.8	42.2	68.2	42.4	1.7	46.1	1	6.73	6.48	13.2	1.5
138	2021-04-18 07:02:09	82.86	150.0	45.3	2.1	177.0	195.1	199.4	219.5	57.2	85.8	38.4	3.2	43.6	0	6.69	6.3	13.0	1.0
139	2021-04-18 07:02:12	82.95	149.9	43.9	1.8	181.7	186.7	199.6	229.9	57.5	85.8	39.7	3.5	45.1	0	6.49	6.6	13.1	0.9
140	2021-04-18 07:02:15	82.9	149.9	42.7	2.1	185.0	192.5	199.2	216.5	46.2	71.5	41.5	2.5	46.0	1	6.3	6.21	12.5	1.3
141	2021-04-18 07:02:18	82.8	150.0	46.5	1.8	174.6	192.1	199.8	214.7	57.7	84.7	38.8	3.1	43.9	0	6.87	6.16	13.0	1.0
142	2021-04-18 07:02:21	83.07	150.0	43.9	1.8	181.8	186.8	199.9	217.1	51.4	77.9	40.2	3.4	45.6	0	6.48	6.23	12.7	0.9
143	2021-04-18 07:02:24	83.45	150.0	44.5	2.2	171.1	188.0	199.6	218.5	55.9	81.8	40.2	2.7	45.0	1	6.58	6.27	12.8	1.2
144	2021-04-18 07:02:27	83.19	149.7	43.5	2.1	172.8	190.5	198.5	216.9	61.4	88.8	38.4	3.9	44.3	0	6.42	6.23	12.6	0.7
145	2021-04-18 07:02:30	82.75	149.9	42.4	1.9	180.1	185.2	200.0	215.9	56.7	84.0	38.9	2.2	43.1	1	6.26	6.19	12.5	1.4
146	2021-04-18 07:02:33	82.59	150.4	44.8	1.8	191.3	194.2	199.9	223.2	42.0	67.4	42.6	3.7	48.3	0	6.61	6.4	13.0	0.8
147	2021-04-18 07:02:36	82.72	149.9	45.9	1.5	175.7	187.7	200.0	218.4	44.0	73.6	39.1	2.3	43.4	1	6.78	6.27	13.0	1.3
148	2021-04-18 07:02:39	83.06	149.9	42.0	2.1	177.0	192.9	199.8	218.2	37.7	64.1	41.8	2.7	46.6	1	6.2	6.26	12.5	1.2
149	2021-04-18 07:02:42	83.23	150.1	48.8	2.1	170.6	189.4	199.4	228.8	47.1	75.4	40.7	3.7	46.4	0	7.21	6.56	13.8	0.8
150	2021-04-18 07:02:45	83.08	149.9	46.7	2.0	180.7	191.2	199.8	225.7	41.1	70.7	40.1	3.6	45.7	0	6.9	6.48	13.4	0.8
151	2021-04-18 07:02:48	82.99	150.2	43.2	1.4	179.2	196.7	198.8	216.5	36.5	63.8	41.1	1.1	44.2	1	6.38	6.21	12.6	1.8
152	2021-04-18 07:02:51	83.04	150.2	46.3	1.8	178.7	189.7	199.1	219.7	67.5	92.6	39.6	3.6	45.2	0	6.83	6.3	13.1	0.8
153	2021-04-18 07:02:54	82.86	149.9	47.9	1.9	183.4	190.4	200.2	213.1	39.7	65.0	41.9	4.9	48.8	0	7.08	6.11	13.2	0.3
154	2021-04-18 07:02:57	82.55	150.0	44.8	2.3	167.3	184.3	201.2	218.5	43.2	70.1	40.9	5.3	48.2	0	6.61	6.27	12.9	0.2
155	2021-04-18 07:03:00	82.88	150.1	46.8	2.1	177.8	189.1	200.4	225.7	58.3	87.2	38.8	4.2	44.9	0	6.91	6.48	13.4	0.6
156	2021-04-18 07:03:03	82.91	149.8	45.6	1.9	180.9	190.7	199.0	217.4	50.1	77.7	39.6	2.3	43.9	1	6.73	6.24	13.0	1.3
157	2021-04-18 07:03:06	82.71	150.0	47.6	2.3	178.1	196.6	199.1	222.4	47.6	74.4	40.9	4.0	47.0	0	7.03	6.38	13.4	0.7
158	2021-04-18 07:03:09	83.2	150.0	44.6	2.2	190.1	186.8	199.8	208.2	48.9	74.8	39.9	3.3	45.2	0	6.59	5.97	12.6	1.0
159	2021-04-18 07:03:12	83.27	150.0	43.5	1.8	178.3	191.0	200.5	215.2	60.8	88.7	37.9	3.9	43.8	0	6.43	6.18	12.6	0.7
160	2021-04-18 07:03:15	83.05	150.1	43.8	2.1	173.3	199.7	202.2	216.4	48.7	78.0	38.6	2.4	43.0	1	6.47	6.21	12.7	1.3
